# id	name	cn	date	platform	pop	status	source	ref	title	checked
8	コードギアス 反逆のルルーシュR2	Code Geass 反叛的鲁路修R2	2008-04-06	TV	33130	hit	auto	movie/1263462	Code Geass: Lelouch of the Rebellion R2 Special Edition - Zero Requiem	2026-09-25
12	ちょびっツ	人形电脑天使心	2002-04-02	TV	15283	hit	auto	tv/37527	人形电脑天使心	2026-09-25
50	機動戦士ガンダム	机动战士高达	1979-04-07	TV	11115	hit	auto	tv/21731	机动战士高达0079	2026-09-25
51	CLANNAD -クラナド-	CLANNAD	2007-10-04	TV	59218	hit	auto	tv/24835	CLANNAD	2026-09-25
233	劇場版 空の境界 第一章 俯瞰風景	剧场版 空之境界 第一章 俯瞰风景	2007-12-01	剧场版	23069	hit	auto	movie/23150	空之境界 第一章 俯瞰风景	2026-09-25
234	AIR		2005-01-06	TV	29880	hit	auto	tv/26201	AIR	2026-09-25
236	マクロスFrontier	超时空要塞Frontier	2008-04-03	TV	7754	hit	auto	tv/5857	超时空要塞 Frontier	2026-09-25
237	GHOST IN THE SHELL / 攻殻機動隊	攻壳机动队	1995-11-18	剧场版	28157	hit	auto	movie/9323	攻壳机动队	2026-09-25
238	イノセンス	攻壳机动队2 无罪	2004-03-06	剧场版	16847	hit	auto	movie/12140	攻壳机动队2：无罪	2026-09-25
242	時をかける少女	穿越时空的少女	2006-07-15	剧场版	25218	hit	auto	movie/14069	穿越时空的少女	2026-09-25
244	神霊狩/GHOST HOUND	神灵狩	2007-10-18	TV	1902	hit	auto	tv/36024	神灵狩	2026-09-25
247	銀魂	银魂	2006-04-04	TV	34135	hit	auto	tv/57041	银魂	2026-09-25
253	カウボーイビバップ	星际牛仔	1998-10-23	TV	45585	hit	auto	tv/30991	星际牛仔	2026-09-25
254	サムライチャンプルー	混沌武士	2004-05-19	TV	28686	hit	auto	tv/1063	混沌武士	2026-09-25
259	夏目友人帳	夏目友人帐	2008-07-07	TV	27247	hit	auto	tv/69500	夏目友人帐	2026-09-25
265	新世紀エヴァンゲリオン	新世纪福音战士	1995-10-04	TV	64875	hit	auto	tv/890	新世纪福音战士	2026-09-25
274	Kanon		2006-10-05	TV	16664	hit	auto	tv/34124	雪之少女	2026-09-25
276	らき☆すた	幸运星	2007-04-08	TV	42933	hit	auto	tv/42500	幸运☆星	2026-09-25
280	コゼットの肖像	柯赛特的肖像	2004-05-26	OVA	3682	hit	auto	tv/73501	柯赛特的肖像	2026-09-25
281	シゴフミ	死后文	2008-01-05	TV	6837	hit	auto	tv/89664	死后文	2026-09-25
282	狼と香辛料	狼与香辛料	2008-01-08	TV	28983	hit	auto	tv/26707	狼与香辛料	2026-09-25
283	みなみけ	南家三姐妹	2007-10-07	TV	16982	hit	auto	tv/56354	南家三姐妹	2026-09-25
284	苺ましまろ	草莓棉花糖	2005-07-14	TV	9794	hit	auto	tv/35730	草莓棉花糖	2026-09-25
286	機動戦士ガンダム00	机动战士高达00	2007-10-06	TV	12094	hit	auto	tv/21732	机动战士高达00	2026-09-25
288	ひぐらしのなく頃に解	寒蝉鸣泣之时 解	2007-07-05	TV	26111	hit	auto	tv/25760	寒蝉鸣泣之时	2026-09-25
289	ひぐらしのなく頃に	寒蝉鸣泣之时	2006-04-04	TV	34691	hit	auto	tv/25760	寒蝉鸣泣之时	2026-09-25
290	Fate/stay night	Fate/stay night	2006-01-06	TV	27447	hit	auto	tv/37858	命运之夜	2026-09-25
292	DARKER THAN BLACK -黒の契約者-	DARKER THAN BLACK -黑之契约者-	2007-04-05	TV	22595	hit	auto	tv/31718	黑之契约者	2026-09-25
294	図書館戦争	图书馆战争	2008-04-10	TV	4618	hit	auto	tv/89742	图书馆战争	2026-09-25
295	風の谷のナウシカ	风之谷	1984-03-11	剧场版	17522	hit	auto	movie/81	风之谷	2026-09-25
297	おねがい☆ティーチャー	拜托了老师	2002-01-10	TV	3452	hit	auto	tv/19780	拜托了，老师	2026-09-25
298	天空の城ラピュタ	天空之城	1986-08-02	剧场版	28754	hit	auto	movie/10515	天空之城	2026-09-25
299	さよなら絶望先生	再见绝望先生	2007-07-07	TV	15924	hit	auto	tv/42887	再见！绝望先生	2026-09-25
300	俗・さよなら絶望先生	俗・再见绝望先生	2008-01-05	TV	9116	hit	auto	tv/42887	再见！绝望先生	2026-09-25
302	となりのトトロ	龙猫	1988-04-16	剧场版	24876	hit	auto	movie/8392	龙猫	2026-09-25
303	ドルアーガの塔 ～the Aegis of URUK～	迷宫塔 ～乌鲁克之盾～	2008-04-04	TV	2570	hit	auto	tv/37517	德鲁亚加之塔	2026-09-25
304	RD 潜脳調査室	RD 潜脑调查室	2008-04-08	TV	1077	hit	auto	tv/34773	RD潜脑调查室	2026-09-25
305	魔女の宅急便	魔女宅急便	1989-07-29	剧场版	13601	hit	auto	movie/16859	魔女宅急便	2026-09-25
306	Myself ; Yourself	我自己；你自己	2007-10-02	TV	3548	hit	auto	tv/42885	我自己；你自己	2026-09-25
307	紅の豚	红猪	1992-07-18	剧场版	13523	hit	auto	movie/11621	红猪	2026-09-25
308	キミキス pure rouge	君吻 pure rouge	2007-10-06	TV	3196	hit	auto	tv/25365	君吻	2026-09-25
309	true tears	真实之泪	2008-01-05	TV	16280	hit	auto	tv/34162	真实之泪	2026-09-25
310	もののけ姫	幽灵公主	1997-07-12	剧场版	23186	hit	auto	movie/128	幽灵公主	2026-09-25
311	千と千尋の神隠し	千与千寻	2001-07-20	剧场版	49924	hit	auto	movie/129	千与千寻	2026-09-25
312	ハウルの動く城	哈尔的移动城堡	2004-11-20	剧场版	23101	hit	auto	movie/4935	哈尔的移动城堡	2026-09-25
313	崖の上のポニョ	崖上的波妞	2008-07-19	剧场版	8730	hit	auto	movie/12429	崖上的波妞	2026-09-25
314	ルパン三世 カリオストロの城	鲁邦三世 卡里奥斯特罗之城	1979-12-15	剧场版	3225	hit	auto	movie/15371	鲁邦三世：卡里奥斯特罗城	2026-09-25
315	鋼の錬金術師	钢之炼金术师	2003-10-04	TV	23986	hit	auto	tv/37863	钢之炼金术师	2026-09-25
317	我が家のお稲荷さま。	我家有个狐仙大人	2008-04-06	TV	3554	miss	auto			2026-09-25
320	攻殻機動隊 STAND ALONE COMPLEX Solid State Society	攻壳机动队 S.A.C. Solid State Society	2006-09-01	TV	9711	hit	auto	movie/18874	攻壳机动队：SSS	2026-09-25
321	機動警察パトレイバー 2 the Movie	机动警察剧场版2 和平保卫战	1993-08-07	剧场版	9354	hit	auto	movie/14572	机动警察 和平保卫战	2026-09-25
323	スレイヤーズEVOLUTION-R	秀逗魔导士EVOLUTION-R	2009-01-12	TV	1256	hit	auto	tv/26318	秀逗魔导士	2026-09-25
324	攻殻機動隊 STAND ALONE COMPLEX	攻壳机动队 STAND ALONE COMPLEX	2002-10-01	TV	27198	hit	auto	tv/1095	攻壳机动队 STAND ALONE COMPLEX	2026-09-25
325	セキレイ	鹡鸰女神	2008-07-02	TV	4676	hit	auto	tv/34805	鹡鸰女神	2026-09-25
326	攻殻機動隊 S.A.C. 2nd GIG	攻壳机动队 S.A.C. 2nd GIG	2004-01-01	TV	26822	hit	auto	tv/1095	攻壳机动队 STAND ALONE COMPLEX	2026-09-25
329	忘却の旋律	忘却的旋律	2004-04-06	TV	765	hit	auto	tv/34802	忘却的旋律	2026-09-25
330	ひだまりスケッチ×365	向阳素描×365	2008-07-03	TV	3964	hit	auto	tv/45893	向阳素描	2026-09-25
334	フルメタル・パニック!	全金属狂潮	2002-01-15	TV	14041	hit	auto	tv/39379	全金属狂潮！	2026-09-25
337	フルメタル・パニック! The Second Raid	全金属狂潮 The Second Raid	2005-07-13	TV	10067	hit	auto	tv/39379	全金属狂潮！	2026-09-25
338	フルメタル・パニック? ふもっふ	全金属狂潮 校园篇	2003-08-26	TV	12962	hit	auto	tv/39379	全金属狂潮！	2026-09-25
340	蟲師	虫师	2005-10-22	TV	31460	hit	auto	tv/26867	虫师	2026-09-25
369	老人Z	老人Z	1991-09-14	剧场版	2528	hit	auto	movie/35648	老人Z	2026-09-25
382	火垂るの墓	萤火虫之墓	1988-04-16	剧场版	8795	hit	auto	movie/12477	萤火虫之墓	2026-09-25
407	平成狸合戦ぽんぽこ	平成狸合战	1994-07-16	剧场版	3904	hit	auto	movie/15283	平成狸合战	2026-09-25
425	ドラえもん のび太の恐竜	哆啦A梦：大雄的恐龙	1980-03-15	剧场版	2243	hit	auto	movie/64789	哆啦A梦：大雄的恐龙	2026-09-25
436	ドラえもん のび太の宇宙開拓史	哆啦A梦：大雄的宇宙开拓史	1981-03-14	剧场版	1452	hit	auto	movie/162103	哆啦A梦：大雄的宇宙开拓史	2026-09-25
437	ドラえもん のび太の大魔境	哆啦A梦：大雄的大魔境	1982-03-13	剧场版	1539	hit	auto	movie/184004	哆啦A梦：大雄的大魔境	2026-09-25
438	ドラえもん のび太の海底鬼岩城	哆啦A梦：大雄的海底鬼岩城	1983-03-12	剧场版	1459	hit	auto	movie/147576	哆啦A梦：大雄的海底鬼岩城	2026-09-25
439	ドラえもん のび太の魔界大冒険	哆啦A梦：大雄的魔界大冒险	1984-03-17	剧场版	1900	hit	auto	movie/161699	哆啦A梦：大雄的魔界大冒险	2026-09-25
440	スクールランブル	校园迷糊大王	2004-10-05	TV	12634	hit	auto	tv/31665	校园迷糊大王	2026-09-25
441	ドラえもん のび太の宇宙小戦争	哆啦A梦：大雄的宇宙小战争	1985-03-16	剧场版	1411	hit	auto	movie/161704	哆啦A梦：大雄的宇宙小战争	2026-09-25
442	ドラえもん のび太と鉄人兵団	哆啦A梦：大雄与铁人兵团	1986-03-15	剧场版	2329	hit	auto	movie/88625	哆啦A梦：大雄与铁人兵团	2026-09-25
443	のだめカンタービレ	交响情人梦	2007-01-11	TV	7650	hit	auto	tv/45527	交响情人梦	2026-09-25
444	ドラえもん のび太と竜の騎士	哆啦A梦：大雄与龙之骑士	1987-03-14	剧场版	1399	hit	auto	movie/72565	哆啦A梦：大雄与龙骑士	2026-09-25
446	ドラえもん のび太のパラレル西遊記	哆啦A梦：大雄的平行西游记	1988-03-12	剧场版	1548	hit	auto	movie/136241	哆啦A梦：大雄的平行西游记	2026-09-25
448	ドラえもん のび太の日本誕生	哆啦A梦：大雄的日本诞生	1989-03-11	剧场版	1671	hit	auto	movie/142527	哆啦A梦：大雄的日本诞生	2026-09-25
449	ドラえもん のび太とアニマル惑星	哆啦A梦：大雄与动物行星	1990-03-10	剧场版	1420	hit	auto	movie/161707	哆啦A梦：大雄与动物行星	2026-09-25
450	ドラえもん のび太のドラビアンナイト	哆啦A梦：大雄的天方夜谭	1991-03-09	剧场版	1506	hit	auto	movie/188403	哆啦A梦：大雄的天方夜谭	2026-09-25
451	ドラえもん のび太と雲の王国	哆啦A梦：大雄与云之王国	1992-03-07	剧场版	1684	hit	auto	movie/134162	哆啦A梦：大雄与云之王国	2026-09-25
452	ドラえもん のび太とブリキの迷宮	哆啦A梦：大雄与白金迷宫	1993-03-06	剧场版	1543	hit	auto	movie/161822	哆啦A梦：大雄与白金迷宫	2026-09-25
453	ドラえもん のび太と夢幻三剣士	哆啦A梦：大雄与梦幻三剑士	1994-03-12	剧场版	1759	hit	auto	movie/161715	哆啦A梦：大雄与梦幻三剑士	2026-09-25
455	ドラえもん のび太の創世日記	哆啦A梦：大雄的创世日记	1995-03-04	剧场版	1593	hit	auto	movie/162069	哆啦A梦：大雄的创世日记	2026-09-25
458	ドラえもん のび太と銀河超特急	哆啦A梦：大雄与银河超特急	1996-03-02	剧场版	1341	hit	auto	movie/106164	哆啦A梦：大雄与银河超特急	2026-09-25
459	ドラえもん のび太のねじ巻き都市冒険記	哆啦A梦：大雄的钥匙城历险记	1997-03-08	剧场版	1125	hit	auto	movie/163394	哆啦A梦：大雄的发条都市冒险记	2026-09-25
460	ドラえもん のび太の南海大冒険	哆啦A梦：大雄的南海大冒险	1998-03-07	剧场版	1367	hit	auto	movie/105444	哆啦A梦：大雄的南海大冒险	2026-09-25
463	ドラえもん のび太の宇宙漂流記	哆啦A梦：大雄的宇宙漂流记	1999-03-06	剧场版	1489	hit	auto	movie/162072	哆啦A梦：大雄的宇宙漂流记	2026-09-25
464	ドラえもん のび太の太陽王伝説	哆啦A梦：大雄的太阳王传说	2000-03-11	剧场版	1850	hit	auto	movie/31352	哆啦A梦：大雄的太阳王传说	2026-09-25
465	ドラえもん のび太と翼の勇者たち	哆啦A梦：大雄与翼之勇者	2001-03-10	剧场版	1482	hit	auto	movie/162092	Doraemon: Nobita and the Winged Braves	2026-09-25
467	ぼくらの	地球防卫少年	2007-04-08	TV	7366	hit	auto	tv/34765	地球防卫少年	2026-09-25
468	ドラえもん のび太とロボット王国	哆啦A梦：大雄与机器人王国	2002-03-09	剧场版	1387	hit	auto	movie/162095	哆啦A梦：大雄与机器人王国	2026-09-25
469	ドラえもん のび太とふしぎ風使い	哆啦A梦：大雄与不可思议的风使者	2003-03-08	剧场版	1776	hit	auto	movie/98613	哆啦A梦：大雄与风之使者	2026-09-25
470	ドラえもん のび太のワンニャン時空伝	哆啦A梦：大雄的猫狗时空传	2004-03-06	剧场版	2314	hit	auto	movie/192904	哆啦A梦：大雄的猫狗时空传	2026-09-25
472	APPLESEED	苹果核战记	2004-04-17	剧场版	2551	hit	auto	movie/11633	苹果核战记	2026-09-25
473	映画ドラえもん のび太の恐竜2006	哆啦A梦：大雄的恐龙2006	2006-03-04	剧场版	2825	hit	auto	movie/70841	哆啦A梦：大雄的恐龙2006	2026-09-25
475	映画ドラえもん のび太の新魔界大冒険 〜7人の魔法使い〜	哆啦A梦：大雄的奇幻大冒险	2007-03-10	剧场版	2149	hit	auto	movie/52795	哆啦A梦：大雄的新魔界大冒险 ~7人的魔法使者~	2026-09-25
476	映画ドラえもん のび太と緑の巨人伝	哆啦A梦：大雄与绿巨人传	2008-03-08	剧场版	1700	hit	auto	movie/136686	哆啦A梦：大雄与绿巨人传	2026-09-25
477	映画ドラえもん 新・のび太の宇宙開拓史	哆啦A梦：新·大雄的宇宙开拓史	2009-03-07	剧场版	1554	hit	auto	movie/95935	哆啦A梦：新·大雄的宇宙开拓史	2026-09-25
482	西洋骨董洋菓子店～アンティーク～	西洋古董洋菓子店	2008-07-03	TV	923	hit	auto	tv/34741	西洋古董洋果子店	2026-09-25
485	涼宮ハルヒの憂鬱	凉宫春日的忧郁	2006-04-02	TV	40023	hit	auto	tv/42511	凉宫春日的忧郁	2026-09-25
486	NANA－ナナ－	娜娜	2006-04-05	TV	13323	hit	auto	tv/56568	娜娜	2026-09-25
487	君が主で執事が俺で	你是主人我是仆	2008-01-06	TV	2836	hit	auto	tv/79044	你是主人我是仆	2026-09-25
488	D.Gray-man	驱魔少年	2006-10-03	TV	5077	hit	auto	tv/34141	驱魔少年	2026-09-25
489	School Days OVA スペシャル ～マジカルハート☆こころちゃん～	日在校园OVA 魔法少女小心心	2008-03-28	OVA	2707	hit	auto	tv/28061	日在校园	2026-09-25
490	灼眼のシャナ	灼眼的夏娜	2005-10-05	TV	22627	hit	auto	tv/22634	灼眼的夏娜	2026-09-25
