# bgm_id	checked	status	hash	fails
8	2026-09-25	hit	0433ab31456f	0
12	2026-09-25	hit	9c9576997147	0
50	2026-09-25	hit	2f04846086d4	0
51	2026-09-25	hit	2a4fe6671b57	0
233	2026-09-25	hit	15800332ff32	0
234	2026-09-25	hit	a533c11bc7cb	0
236	2026-09-25	hit	aeea030971b3	0
237	2026-09-24	hit	7fdcbccd1a4b	0
238	2026-09-25	hit	270a2688d59e	0
242	2026-09-25	hit	6533724bb261	0
244	2026-09-25	hit	2bfde89bc7ed	0
247	2026-09-25	hit	21e1aa658256	0
253	2026-09-25	hit	d7c4935b8ac6	0
254	2026-09-25	hit	8bf9a0cff416	0
259	2026-09-25	hit	64934ffea535	0
265	2026-09-25	hit	96b87c7f1308	0
274	2026-09-25	hit	c842208b6fce	0
276	2026-09-25	hit	769b63910b90	0
280	2026-09-25	hit	0b03dc546814	0
281	2026-09-25	hit	ac95624e992a	0
282	2026-09-25	hit	90296e1ece21	0
283	2026-09-25	hit	fc68290ba8b6	0
284	2026-09-25	hit	790a759b04ed	0
286	2026-09-25	hit	e4001a3dcc55	0
288	2026-09-25	hit	9ee6e5f031ee	0
289	2026-09-25	hit	df13041f0ca4	0
290	2026-09-25	hit	1e13d8beae8b	0
292	2026-09-25	hit	53d7396d18f5	0
294	2026-09-25	hit	f7772b012f5a	0
295	2026-09-25	hit	5473f62424b2	0
297	2026-09-25	hit	e51df20a8a32	0
298	2026-09-25	hit	a56ed1135231	0
299	2026-09-25	hit	3a09be759b45	0
300	2026-09-25	hit	8b9cb3f4066e	0
302	2026-09-25	hit	8ed152b6e5ec	0
303	2026-09-25	hit	2990842353e4	0
304	2026-09-25	hit	031ef170ce2d	0
305	2026-09-25	hit	e83d8a0226ef	0
306	2026-09-25	hit	d257cff4d0b5	0
307	2026-09-25	hit	aee341c3342f	0
308	2026-09-25	hit	50e6eceb5501	0
309	2026-09-25	hit	29624f924e41	0
310	2026-09-25	hit	602c12c6a0fd	0
311	2026-09-24	hit	d6ccb73bab4f	0
312	2026-09-25	hit	e208995dfdd3	0
313	2026-09-25	hit	55dbe7ed6434	0
314	2026-09-25	hit	2b5417e913bd	0
315	2026-09-25	hit	018518c27fda	0
317	2026-09-25	miss	584ad25c9560	0
320	2026-09-25	hit	b5586a195415	0
321	2026-09-25	hit	7f88c4909857	0
